roman,devanagari
suraj,सुरज्
chand,चन्द्
tare,तरे
ped,पेद्
paudha,पौध
phool,फूल्
fal,फ़ल्
janwar,जन्वर्
pakshi,पक्शि
insaan,इन्सान्
aadmi,आद्मि
aurat,औरत्
ladka,लद्क
ladki,लद्कि
bhai,भै
behan,बेहन्
pita,पित
baap,बाप्
maa,मा
mata,मत
dada,दद
dadi,ददि
nana,नन
nani,ननि
chacha,चच
chachi,चचि
mama,मम
mami,ममि
aashirwad,आशिर्वद्
pratigya,प्रतिग्य
sankalp,सन्कल्प्
kranti,क्रन्ति
svatantrata,स्वतन्त्रत
kartvya,कर्त्व्य
prakriti,प्रक्रिति
sanskriti,सन्स्क्रिति
parampara,परम्पर
shanti,शन्ति
dhairya,धैर्य
prerna,प्रेर्न
samarpan,समर्पन्
shraddha,श्रद्ध
kshamata,क्शमत
drishya,द्रिश्य
gyan,ग्यन्
vigyan,विग्यन्
darshan,दर्शन्
siddhant,सिद्धन्त्
prajatantra,प्रजतन्त्र
samvidhan,सम्विधन्
rashtra,रश्त्र
adbhut,अद्भुत्
sarvashreshth,सर्वश्रेश्थ्
advitiya,अद्वितिय
pavitra,पवित्र
vishisht,विशिश्त्
shreshth,श्रेश्थ्
prasiddh,प्रसिद्ध्
mahaprakrami,महप्रक्रमि
tejasvi,तेजस्वि
swasthya,स्वस्थ्य
paryapta,पर्यप्त
anivarya,अनिवर्य
samriddh,सम्रिद्ध्
unnati,उन्नति
pragati,प्रगति
prithvi,प्रिथ्वि
karya,कर्य
karyakram,कर्यक्रम्
grih,ग्रिह्
vriddha,व्रिद्ध
vyakti,व्यक्ति
shramik,श्रमिक्
vidhyarthi,विध्यर्थि
aacharya,आचर्य
shikshak,शिक्शक्
vyapar,व्यपर्
vyavahar,व्यवहर्
shatru,शत्रु
shatrubhanj,शत्रुभन्ज्
kshatriya,क्शत्रिय
brahmin,ब्रह्मिन्
mritunjay,म्रितुन्जय्
karm,कर्म्
dharm,धर्म्
marm,मर्म्
srishti,स्रिश्ति
krishti,क्रिश्ति
uchcharan,उच्चरन्
sahitya,सहित्य
vyakaran,व्यकरन्
drushtikon,द्रुश्तिकोन्
paripakvata,परिपक्वत
visheshagya,विशेशग्य
antariksh,अन्तरिक्श्
brahmand,ब्रह्मन्द्
akansha,अकन्श
mahatvakanksha,महत्वकन्क्श
sauhardsampann,सौहर्द्सम्पन्न्
bhrashtachar,भ्रश्तचर्
prakriya,प्रक्रिय
vishleshan,विश्लेशन्
sanrakshan,सन्रक्शन्
aakarshan,आकर्शन्
prakarsh,प्रकर्श्
utkarsh,उत्कर्श्
apkarsh,अप्कर्श्
shyam,श्यम्
shrikant,श्रिकन्त्
Shrimati,ष्रिमति
dhritarashtra,ध्रितरश्त्र
yudhishthir,युधिश्थिर्
kripacharya,क्रिपचर्य
dronacharya,द्रोनचर्य
ashwatthama,अश्वत्थम
krishna,क्रिश्न
vishnu,विश्नु
shiv,शिव्
brahma,ब्रह्म
saraswati,सरस्वति
lakshmi,लक्श्मि
parvati,पर्वति
durga,दुर्ग
chhatrapati,छत्रपति
maharashtra,महरश्त्र
swarajya,स्वरज्य
samrajya,सम्रज्य
    
